Name,Status,Created time,Last edited time,Theme
"pow(x, n)",done,"November 1, 2023 3:11 PM","November 2, 2023 4:56 PM",math
Sqrt,done,"November 1, 2023 3:11 PM","November 1, 2023 4:37 PM",
Factorial Trailing Zeroes,done,"November 1, 2023 3:11 PM","November 2, 2023 4:56 PM",math
https://leetcode.com/problems/max-points-on-a-line/,done,"November 1, 2023 5:19 PM","November 2, 2023 4:56 PM",math
https://leetcode.com/problems/kth-largest-element-in-an-array/,"done, in progress","November 1, 2023 5:58 PM","November 1, 2023 6:24 PM",heap
https://leetcode.com/problems/ipo/,"done, in progress","November 1, 2023 6:24 PM","November 1, 2023 10:30 PM",heap
https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,"done, in progress","November 1, 2023 10:30 PM","November 2, 2023 2:56 PM",heap
https://leetcode.com/problems/find-median-from-data-stream/,"done, in progress","November 2, 2023 2:56 PM","November 2, 2023 4:45 PM",heap
https://leetcode.com/problems/search-insert-position/,"done, in progress","November 2, 2023 4:45 PM","November 2, 2023 4:55 PM",Binary Search
https://leetcode.com/problems/search-a-2d-matrix/,"done, in progress","November 2, 2023 4:56 PM","November 2, 2023 5:36 PM",Binary Search
문제 리스트,in progress,"November 2, 2023 5:36 PM","February 19, 2024 10:30 AM",
https://leetcode.com/problems/regular-expression-matching/,in progress,"November 2, 2023 5:40 PM","November 2, 2023 11:54 PM",DP
https://leetcode.com/problems/find-peak-element/,"done, in progress","November 3, 2023 3:31 PM","November 3, 2023 5:17 PM",Binary Search
https://leetcode.com/problems/search-in-rotated-sorted-array/,"done, in progress","November 3, 2023 5:17 PM","November 9, 2023 5:14 PM",Binary Search
https://leetcode.com/problems/burst-balloons/description/,done,"November 7, 2023 1:05 PM","May 27, 2024 7:31 PM",DP
https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description/?envType=study-plan-v2&envId=top-interview-150,in progress,"November 9, 2023 5:14 PM","November 9, 2023 6:38 PM",Binary Search
https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description/?envType=study-plan-v2&envId=top-interview-150,in progress,"November 9, 2023 6:39 PM","November 12, 2023 3:45 PM",Binary Search
https://leetcode.com/problems/min-cost-climbing-stairs/description/?envType=study-plan-v2&envId=dynamic-programming,done,"November 12, 2023 10:58 AM","November 12, 2023 11:19 AM",DP
https://leetcode.com/problems/house-robber/solutions/846002/python-dynamic-programming-easy-solution-faster-than-95/?envType=study-plan-v2&envId=dynamic-programming,done,"November 12, 2023 11:28 AM","November 12, 2023 11:36 AM",DP
https://leetcode.com/problems/delete-and-earn/?envType=study-plan-v2&envId=dynamic-programming,"done, in progress, 👀1","November 12, 2023 4:48 PM","February 28, 2024 12:11 PM",DP
https://leetcode.com/problems/unique-paths/description/?envType=study-plan-v2&envId=dynamic-programming,done,"November 12, 2023 7:02 PM","November 12, 2023 7:08 PM",DP
